crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,5,1,0.12000000000000001,2.4000000000000004,1680.0,0.0,1680.0,719.84278,59.072,915.616,0.03675917859365277,307.85764705882343,0.7200000000000001,17.28,0.0,600.0,-0.14422553455500003
AG,6,1,6.54,130.8,91560.0,0.0,91560.0,39231.43150999999,3219.424,49901.072,2.0033752333540757,16778.241764705876,39.24,941.76,0.0,0.0,-7.407850956669002
AN_NU,1,2,0.48,9.6,7040.0,0.0,7040.0,3345.4015999999997,210.23999999999998,3258.72,0.13082762912258866,1086.6470588235293,3.5200000000000005,61.71200000000001,0.0,0.0,-0.7297696231775997
AN_NU,4,1,17.96,359.2,263413.3333333333,0.0,263413.3333333333,125173.77653333332,7866.4800000000005,121930.44,4.895133789670193,40658.71078431373,131.70666666666668,2309.0573333333336,0.0,0.0,-27.305546733895195
AN_NU,5,1,3.08,61.6,45173.333333333336,0.0,45173.333333333336,21466.326933333334,1349.04,20910.120000000003,0.839477286869944,6972.651960784314,22.58666666666667,395.9853333333334,0.0,0.0,-4.682688415389599
AN_NU,6,1,7.15,143.0,104866.66666666666,0.0,104866.66666666666,49832.54466666666,3131.7,48541.35,1.948786558805227,16186.513480392157,52.43333333333334,919.2516666666669,0.0,0.0,-10.870526678582998
AN_PA,1,2,21.87,765.45,561330.0,0.0,561330.0,357865.3709999999,9535.32,147797.46,5.933615432482887,97818.39926470592,349.92,4694.76,0.0,0.0,-33.250128456029394
AN_PA,4,1,338.06,11832.1,8676873.333333332,0.0,8676873.333333332,5531777.197999999,147394.16,2284609.48,91.7200746733043,1512047.922058824,5408.96,72570.21333333333,0.0,0.0,-513.9706641904571
AN_PA,5,1,55.52,1943.2,1425013.3333333333,0.0,1425013.3333333333,908490.4159999999,24206.72,375204.16000000003,15.06329807093964,248325.4470588236,888.32,11918.293333333335,0.0,0.0,-84.41001974754238
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,123706.54799999997,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BA_INT,1,2,6.33,284.85,153819.0,118105.14,271924.14,65449.57305,9863.1290625,152878.50046875,6.137603648102053,184988.95560661764,47.475,2459.205000000001,0.0,79190.4,0.9062891083406411
BA_INT,2,2,6.73,302.85,163539.0,125568.34,289107.34,69585.40705,10486.3915625,162539.06921875,6.525445900746734,196678.62104779412,50.475,2614.605000000001,0.0,91258.8,0.9936052858473478
BA_INT,3,2,73.37,3301.65,1782891.0,1368937.46,3151828.46,758615.35145,114321.9240625,1771989.82296875,71.13996519135034,2144176.883547794,550.275,28504.24500000001,0.0,960183.6,10.83221691272212
BA_INT,4,1,66.43,2989.35,1614249.0,1239450.94,2853699.94,686858.6315499999,103508.3196875,1604378.95515625,64.41090210796516,1941361.1881433823,498.225,25808.055000000008,0.0,277708.8,15.669866052876571
BA_INT,5,1,938.64,42238.8,22808952.0,17513145.12,40322097.12,9705148.064399999,1462547.7825,22669490.62875,910.110630056005,27430968.924264703,7039.8,364661.64000000013,0.0,9473151.6,282.73277585851105
BA_INT,6,1,97.27,4377.15,2363661.0,1814863.66,4178524.66,1005731.4329499999,151561.8584375,2349208.80578125,94.31353978686994,2842634.393658088,729.525,37789.39500000001,0.0,0.0,30.491191419812424
BA_INT,7,3,13.79,620.55,335097.0,257293.82,592390.8200000001,142582.87715,21486.974687500002,333048.10765625,13.370861659925326,403001.2160845588,103.425,5357.415000000002,0.0,0.0,2.3874044568471953
BA_IRR,1,2,14.98,509.32,275032.8,213584.84,488617.64,138627.81386363634,16112.351818181816,249741.45318181816,10.026354585054024,283095.5146390374,89.88,4945.1976,0.0,203128.8,-3.3115747932068174
BA_IRR,2,2,88.34,3003.56,1621922.4000000001,1259551.72,2881474.12,817515.425681818,95017.7009090909,1472774.364090909,59.12738077728121,1669469.8106283422,530.04,29162.8008,0.0,1197890.4,-20.214468548743724
BA_IRR,3,2,159.44,5420.96,2927318.4,2273295.52,5200613.92,1475488.5609090906,171492.21454545454,2658129.325454545,106.71575267296485,3013134.102406417,956.64,52634.332800000004,0.0,2162006.4,-36.35694228633775
BA_PER,1,2,17.07,307.26,165920.4,122904.0,288824.4,80332.07435000001,9647.82175,149541.23712499999,6.003622744243932,175968.23920955881,42.675,2652.678,0.0,129498.0,-13.44650066588355
BA_PER,2,2,28.27,508.86,274784.4,203544.0,478328.4,133039.70368333336,15977.968416666665,247658.5104583333,9.942730813109312,291424.8460723039,70.675,4393.158,0.0,303744.0,-22.432860446522355
BA_PER,3,2,42.76,769.68,415627.2,307872.0,723499.2,201230.19913333334,24167.595666666664,374597.73283333326,15.038951877203898,440796.83120098035,106.9,6644.9039999999995,0.0,287743.2,-33.9309908982418
BA_PER,4,1,72.82,1310.76,707810.4,524304.0,1232114.4,342693.71143333334,41157.25716666666,637937.4860833333,25.611236569176516,750674.117120098,182.05,11316.228000000001,0.0,257640.0,-53.76648181509577
BA_PER,5,1,91.11,1639.98,885589.2,655992.0,1541581.2,428767.15255000006,51494.61274999999,798166.497625,32.04394072806471,939218.8795772059,227.775,14158.494,0.0,165838.8,-60.6107122078299
BA_PER,6,1,59.51,1071.18,578437.2,428472.0,1006909.2000000001,280056.3412166667,33634.55608333333,521335.6192916666,20.930028676623106,613466.3102144608,148.775,9247.854000000001,0.0,0.0,-39.755808391699425
BA_PER,7,3,36.67,660.06,356432.4,264024.0,620456.4,172570.42568333336,20725.578416666664,321246.4654583333,12.897061864758347,378017.30121936277,91.675,5698.518,0.0,0.0,-28.806254695573905
BA_SINT,2,2,0.57,15.389999999999999,8310.599999999999,6531.0599999999995,14841.659999999998,3246.126422727271,546.2931818181818,8467.544318181817,0.3399459749957572,9920.135594919786,3.42,154.812,0.0,7729.2,-0.27348700907385015
BA_SINT,4,1,4.73,127.71,68963.4,54196.34,123159.73999999999,26937.154349999986,4533.275000000001,70265.76250000001,2.820955196017424,82319.72169117647,28.380000000000003,1284.6680000000001,0.0,0.0,-2.291268897037558
BA_SINT,5,1,114.17999999999999,3082.86,1664744.4,1308274.44,2973018.84,650250.3770999997,109431.15000000001,1696182.8250000002,68.09654635967642,1987159.793382353,685.08,31011.288000000004,0.0,28204.8,-40.579810787215806
BA_SINT,6,1,79.21,2138.67,1154881.8,907588.1799999999,2062469.98,451097.67358636344,75915.58409090909,1176691.553409091,47.24056259546304,1378550.7727606953,475.26,21513.436,0.0,0.0,-25.614157065495913
BC_BT,4,1,3.0700000000000003,79.82000000000001,63856.0,0.0,63856.0,34956.670125000004,1869.2462500000001,28973.316875,1.1631899502177971,3983.5225183823527,7.675000000000001,238.84600000000003,0.0,30645.600000000002,-1.249560786345879
BC_BT,5,1,208.33,5416.58,4333264.0,0.0,4333264.0,2372157.357375,126846.92874999999,1966127.395625,78.93399424393279,270321.5785845588,520.825,16208.074000000002,0.0,1546789.2,-78.94298450878912
BC_BT,6,1,32.53,845.78,676624.0,0.0,676624.0,370404.06487500004,19806.70375,307003.908125,12.325266801493466,42209.76792279411,81.325,2530.8340000000003,0.0,0.0,-9.709121589325909
BC_GTMG,2,2,1.7,44.2,35360.0,0.0,35360.0,19284.01375,1055.4875,16360.056250000001,0.6568061605476042,2052.1093749999995,4.25,132.26000000000002,0.0,23052.0,-0.8689954095185002
BC_GTMG,3,2,1.62,42.120000000000005,33696.0,0.0,33696.0,18376.53075,1005.8175000000001,15590.171250000001,0.6258976353453641,1955.5395220588232,4.050000000000001,126.03600000000003,0.0,21967.200000000004,-0.8281015078941005
CS_BT_NIM,4,1,3135.84,232052.16,4919505.791999999,10135008.001371428,15054513.793371428,8661342.302633142,39869.96571428572,617984.4685714287,24.810184016357013,6708486.371647057,7794.802285714286,225780.48,0.0,0.0,634.1258873120687
CS_BT_NIM,5,1,124.67,9225.58,195582.29599999997,402932.3714,598514.6673999999,344344.591838,1585.0900000000001,24568.895000000004,0.9863658991910392,266705.8893161764,309.894,8976.24,0.0,0.0,44.37308865601229
CS_BT_NIM,6,1,108.21000000000001,8007.54,169759.84799999997,349733.7924857143,519493.64048571425,298881.27282257145,1375.8128571428572,21325.09928571429,0.8561374344386168,231493.09603676465,268.97914285714285,7791.12,0.0,0.0,54.454731017231
CS_BT_NISM,4,1,3.67,217.264,4605.9968,9643.686262857143,14249.683062857144,6161.873272285717,46.66142857142857,723.2521428571429,0.029036358787447775,6590.881219117646,9.122571428571428,264.24,0.0,0.0,0.6666162894202017
CS_BT_NISM,5,1,0.24,14.208,301.20959999999997,630.6497828571429,931.8593828571429,402.95629028571443,3.0514285714285716,47.29714285714286,0.0018988354520401815,431.0113058823528,0.5965714285714285,17.28,0.0,0.0,0.03774911384160007
