crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,2.25,45.0,31500.0,0.0,31500.0,13497.052124999997,1107.6,17167.8,0.6892345986309893,5772.330882352939,13.5,324.0,0.0,27000.0,-3.235218983935199
AG,5,1,0.97,19.4,13580.0,0.0,13580.0,5818.729138333332,477.4986666666666,7401.229333333333,0.29713669363202655,2488.515980392156,5.82,139.68,0.0,0.0,-1.225484226
AG,6,1,25.31,506.2,354340.0,0.0,354340.0,151826.83968166664,12459.269333333334,193118.6746666667,7.75312341837793,64932.30872549018,151.85999999999999,3644.64,0.0,0.0,-29.478069418192202
AN_NU,1,2,2.04,40.8,29919.999999999996,0.0,29919.999999999996,14217.9568,893.52,13849.56,0.5560174237710018,4618.25,14.96,262.276,0.0,0.0,-3.1015208985047993
AN_NU,4,1,14.02,280.4,205626.66666666666,0.0,205626.66666666666,97713.60506666666,6140.76,95181.78,3.8212570006222775,31739.149509803923,102.81333333333335,1802.504666666667,0.0,0.0,-21.315354410312395
AN_NU,5,1,0.45999999999999996,9.2,6746.666666666666,0.0,6746.666666666666,3206.0098666666663,201.48,3122.9399999999996,0.12537647790914747,1041.3700980392155,3.3733333333333335,59.140666666666675,0.0,0.0,-0.6993625555451999
AN_NU,6,1,2.55,51.0,37400.0,0.0,37400.0,17772.446,1116.9,17311.95,0.6950217797137523,5772.8125,18.700000000000003,327.8450000000001,0.0,0.0,-3.876901123130999
AN_PA,1,2,16.71,584.85,428889.99999999994,0.0,428889.99999999994,273430.74299999996,7285.56,112926.18,4.533640323584319,74739.16102941179,267.36,3587.0800000000004,0.0,0.0,-25.405105006870194
AN_PA,4,1,162.8,5698.0,4178533.333333333,0.0,4178533.333333333,2663945.2399999998,70980.8,1100202.4,44.169757311761046,728158.9117647061,2604.8,34947.73333333334,0.0,0.0,-247.51353052773595
AN_PA,5,1,55.81,1953.35,1432456.6666666665,0.0,1432456.6666666665,913235.7729999998,24333.16,377163.98,15.141978842563784,249622.53602941183,892.96,11980.546666666667,0.0,0.0,-84.85092222821218
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,123706.54799999997,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BA_INT,2,2,4.25,191.25,103275.0,79296.5,182571.5,43943.23625,6622.1640625,102643.54296875,4.12082393434972,124202.6953125,31.875,1651.1250000000005,0.0,57630.0,0.6274624762037487
